"ORIGIN","DEST",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DEN",
"AMA","DAL",
"AMA","DAL",
"AMA","DAL",
"AMA","DAL",
"AMA","LAS",
"AMA","DAL",
"AMA","DAL",
"AMA","DAL",
"AMA","LAS",
"AMA","DAL",
"AMA","DAL",
"AMA","DAL",
"AMA","DAL",
"AMA","LAS",
"AMA","DAL",
"AMA","DAL",
"AMA","DAL",
"AMA","LAS",
"AMA","DAL",
"AMA","DAL",
"AMA","DAL",
"AMA","DAL",
"AMA","LAS",
"AMA","DAL",
"AMA","DAL",
"AMA","DAL",
"AMA","DAL",
"AMA","LAS",
"AMA","DAL",
"AMA","DAL",
"AMA","DAL",
"AMA","DAL",
"AMA","LAS",
"AMA","DAL",
"AMA","DAL",
"AMA","DAL",
"AMA","HOU",
"AMA","LAS",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
"AMA","DFW",
